date,count,year,day,hour,weekday,weekofyear,t-1,t-2,t-3,t-4,t-5,t-6,t-7
2016-01-08,435,2016,8,0,4,1,393.0,450.0,414.0,517.0,375.0,330.0,447.0
2016-01-09,476,2016,9,0,5,1,435.0,393.0,450.0,414.0,517.0,375.0,330.0
2016-01-10,530,2016,10,0,6,1,476.0,435.0,393.0,450.0,414.0,517.0,375.0
2016-01-11,450,2016,11,0,0,2,530.0,476.0,435.0,393.0,450.0,414.0,517.0
2016-01-12,405,2016,12,0,1,2,450.0,530.0,476.0,435.0,393.0,450.0,414.0
2016-01-13,464,2016,13,0,2,2,405.0,450.0,530.0,476.0,435.0,393.0,450.0
2016-01-14,475,2016,14,0,3,2,464.0,405.0,450.0,530.0,476.0,435.0,393.0
2016-01-15,534,2016,15,0,4,2,475.0,464.0,405.0,450.0,530.0,476.0,435.0
2016-01-16,501,2016,16,0,5,2,534.0,475.0,464.0,405.0,450.0,530.0,476.0
2016-01-17,507,2016,17,0,6,2,501.0,534.0,475.0,464.0,405.0,450.0,530.0
2016-01-18,441,2016,18,0,0,3,507.0,501.0,534.0,475.0,464.0,405.0,450.0
2016-01-19,496,2016,19,0,1,3,441.0,507.0,501.0,534.0,475.0,464.0,405.0
2016-01-20,495,2016,20,0,2,3,496.0,441.0,507.0,501.0,534.0,475.0,464.0
2016-01-21,480,2016,21,0,3,3,495.0,496.0,441.0,507.0,501.0,534.0,475.0
2016-01-22,463,2016,22,0,4,3,480.0,495.0,496.0,441.0,507.0,501.0,534.0
2016-01-23,518,2016,23,0,5,3,463.0,480.0,495.0,496.0,441.0,507.0,501.0
2016-01-24,436,2016,24,0,6,3,518.0,463.0,480.0,495.0,496.0,441.0,507.0
2016-01-25,438,2016,25,0,0,4,436.0,518.0,463.0,480.0,495.0,496.0,441.0
2016-01-26,408,2016,26,0,1,4,438.0,436.0,518.0,463.0,480.0,495.0,496.0
2016-01-27,416,2016,27,0,2,4,408.0,438.0,436.0,518.0,463.0,480.0,495.0
2016-01-28,472,2016,28,0,3,4,416.0,408.0,438.0,436.0,518.0,463.0,480.0
2016-01-29,486,2016,29,0,4,4,472.0,416.0,408.0,438.0,436.0,518.0,463.0
2016-01-30,568,2016,30,0,5,4,486.0,472.0,416.0,408.0,438.0,436.0,518.0
2016-01-31,478,2016,31,0,6,4,568.0,486.0,472.0,416.0,408.0,438.0,436.0
2016-02-01,462,2016,1,0,0,5,478.0,568.0,486.0,472.0,416.0,408.0,438.0
2016-02-02,486,2016,2,0,1,5,462.0,478.0,568.0,486.0,472.0,416.0,408.0
2016-02-03,467,2016,3,0,2,5,486.0,462.0,478.0,568.0,486.0,472.0,416.0
2016-02-04,470,2016,4,0,3,5,467.0,486.0,462.0,478.0,568.0,486.0,472.0
2016-02-05,493,2016,5,0,4,5,470.0,467.0,486.0,462.0,478.0,568.0,486.0
2016-02-06,491,2016,6,0,5,5,493.0,470.0,467.0,486.0,462.0,478.0,568.0
2016-02-07,448,2016,7,0,6,5,491.0,493.0,470.0,467.0,486.0,462.0,478.0
